Vehicle 1		Vehicle 2		Vehicle 3		Vehicle 4	
tau1 (s)	u1 (rad/s)	tau2 (s)	u2 (rad/s)	tau3 (s)	u3 (rad/s)	tau4 (s)	u4 (rad/s)
					-1	-0.05482738596	-1
					-1	-0.04836600793	-1
					-1	-0.04189949441	1
					-1	-0.03542776886	1
					-1	-0.02895072255	-1
					-1	-0.02246849744	1
					-1	-0.0159811846	-1
					-1	-0.009488961191	-1
					-1	-0.002992178899	1
					-1	0.003509300574	1
					-1	0.01001562201	-1
					-1	0.01652692085	1
					1	0.02304332949	-1
					-1	0.0295649688	-1
					1	0.03609196429	1
					-1	0.04262446616	1
					-1	0.0491626577	-1
					1	0.05570675528	-1
					1	0.06225700464	1
					-1	0.0688131576	-1
					1	0.07537518805	1
					-1	0.08194301559	-1
					1	0.08851657563	1
					-1	0.0950959821	-1
					1	0.1016813842	-1
					-1	0.1082728499	1
					-1	0.1148702165	1
					1	0.1214732788	1
					1	0.128081706	-1
					-1	0.1346954767	1
					1	0.1413149194	-1
					-1	0.1479399875	1
					1	0.1545699789	-1
					-1	0.1612050025	1
					-1	0.1678450298	-1
					1	0.1744901387	1
					1	0.1811404519	-1
					-1	0.1877960931	-1
					1	0.1944571854	1
					-1	0.2011238496	1
					1	0.2077962032	-1
					-1	0.2144743602	-1
					1	0.2211583255	-1
					-1	0.2278482041	-1
					-1	0.2345441488	1
					1	0.2412460506	1
					1	0.2479538348	-1
					-1	0.254667507	1
					1	0.2613870945	-1
					1	0.2681120853	1
					-1	0.2748426654	1
					-1	0.2815789905	-1
					-1	0.2883212085	1
					-1	0.2950689624	-1
						0.301822487	-1
						0.3085820186	
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
